# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu_atom/cycles/Pu'
# Event count (approx.): 4284000
#
# Overhead  Command  Shared Object         Symbol                            
# ........  .......  ....................  ..................................
#
    65.13%  ml       ld-linux-x86-64.so.2  [.] __GI___tunables_init
     6.10%  ml       ld-linux-x86-64.so.2  [.] _dl_map_object_from_fd
     5.92%  ml       ld-linux-x86-64.so.2  [.] _dl_cache_libcmp
     4.18%  ml       ld-linux-x86-64.so.2  [.] _dl_start
     3.98%  ml       ld-linux-x86-64.so.2  [.] strcmp
     1.93%  ml       ld-linux-x86-64.so.2  [.] _dl_map_object
     1.78%  ml       ld-linux-x86-64.so.2  [.] search_cache
     1.02%  ml       ld-linux-x86-64.so.2  [.] memset
     0.97%  ml       ld-linux-x86-64.so.2  [.] open_verify.constprop.0
     0.87%  ml       ld-linux-x86-64.so.2  [.] _dl_new_object
     0.86%  ml       ld-linux-x86-64.so.2  [.] _dl_sysdep_parse_arguments
     0.85%  ml       ld-linux-x86-64.so.2  [.] strlen
     0.78%  ml       ld-linux-x86-64.so.2  [.] _dl_name_match_p
     0.74%  ml       ld-linux-x86-64.so.2  [.] update_active.constprop.0
     0.47%  ml       ld-linux-x86-64.so.2  [.] _dl_map_object_deps
     0.45%  ml       ld-linux-x86-64.so.2  [.] _dl_load_cache_lookup
     0.44%  ml       ld-linux-x86-64.so.2  [.] rtld_malloc
     0.38%  ml       ld-linux-x86-64.so.2  [.] mmap64
     0.34%  ml       ld-linux-x86-64.so.2  [.] strchr
     0.27%  ml       ld-linux-x86-64.so.2  [.] _dl_catch_exception
     0.22%  ml       ld-linux-x86-64.so.2  [.] memmove
     0.21%  ml       ld-linux-x86-64.so.2  [.] _dl_add_to_namespace_list
     0.18%  ml       ld-linux-x86-64.so.2  [.] get_common_indices.constprop.0
     0.17%  ml       ld-linux-x86-64.so.2  [.] _dl_setup_hash
     0.17%  ml       ld-linux-x86-64.so.2  [.] __GI___sigsetjmp
     0.17%  ml       ld-linux-x86-64.so.2  [.] cache_rpath
     0.17%  ml       ld-linux-x86-64.so.2  [.] __tunable_get_val
     0.13%  ml       ld-linux-x86-64.so.2  [.] _dl_dst_count
     0.13%  ml       ld-linux-x86-64.so.2  [.] init_cpu_features.constprop.0
     0.12%  ml       ld-linux-x86-64.so.2  [.] strdup
     0.12%  ml       ld-linux-x86-64.so.2  [.] openaux
     0.11%  ml       ld-linux-x86-64.so.2  [.] __GI___open64_nocancel
     0.10%  ml       ld-linux-x86-64.so.2  [.] dl_main
     0.09%  ml       ld-linux-x86-64.so.2  [.] _dl_process_pt_gnu_property
     0.05%  ml       ld-linux-x86-64.so.2  [.] rtld_calloc
     0.05%  ml       ld-linux-x86-64.so.2  [.] _dl_audit_activity_map
     0.04%  ml       ld-linux-x86-64.so.2  [.] _dl_debug_initialize
     0.04%  ml       ld-linux-x86-64.so.2  [.] _dl_audit_objopen
     0.03%  ml       ld-linux-x86-64.so.2  [.] _dl_sysdep_read_whole_file
     0.03%  ml       ld-linux-x86-64.so.2  [.] _dl_sort_maps_init
     0.03%  ml       ld-linux-x86-64.so.2  [.] _dl_sysdep_start
     0.03%  ml       ld-linux-x86-64.so.2  [.] rtld_mutex_dummy
     0.02%  ml       ld-linux-x86-64.so.2  [.] __rtld_malloc_init_stubs
     0.02%  ml       ld-linux-x86-64.so.2  [.] _dl_assign_tls_modid
     0.02%  ml       ld-linux-x86-64.so.2  [.] rtld_free
     0.02%  ml       ld-linux-x86-64.so.2  [.] __GI___close_nocancel
     0.02%  ml       ld-linux-x86-64.so.2  [.] fstat64
     0.02%  ml       ld-linux-x86-64.so.2  [.] mempcpy
     0.01%  ml       ld-linux-x86-64.so.2  [.] __GI___read_nocancel
     0.01%  ml       ld-linux-x86-64.so.2  [.] _dl_x86_init_cpu_features
     0.01%  ml       ld-linux-x86-64.so.2  [.] _start
     0.01%  ml       ld-linux-x86-64.so.2  [.] access
     0.01%  ml       ld-linux-x86-64.so.2  [.] brk
     0.00%  ml       ld-linux-x86-64.so.2  [.] _dl_debug_state


# Samples: 7M of event 'cpu_core/cycles/Pu'
# Event count (approx.): 795178200
#
# Overhead  Command  Shared Object              Symbol                                                                                                                                                                                                                                                            
# ........  .......  .........................  ..................................................................................................................................................................................................................................................................
#
    96.45%  ml       ml                         [.] ML::ConvolutionalLayer::computeNaive(ML::LayerData const&) const
     1.02%  ml       ml                         [.] ML::DenseLayer::computeNaive(ML::LayerData const&) const
